CALL: Открыт.позиций,"CALL: Последняя сделка, Значение","CALL: Последняя сделка, Дата","CALL: Последняя сделка, Изменение",CALL: ПОКУПКА,CALL: ПРОДАЖА,CALL: Расчетная цена,CALL: Теоретическая цена,СТРАЙК,IV,PUT: Теоретическая цена,PUT: Расчетная цена,PUT: ПОКУПКА,PUT: ПРОДАЖА,"PUT: Последняя сделка, Значение","PUT: Последняя сделка, Дата","PUT: Последняя сделка, Изменение",PUT: Открыт. позиций,
,,,,13.5800,493.2000,24.6400,24.2500,100.000,126.60,0.01,0.0100,,0.7000,,,,,
,,,,13.5800,393.4000,19.6400,19.2600,105.000,111.63,0.01,0.0100,,0.7000,,,,,
17600,14.3900,23.12.25 10:54:54,-9.15,13.9000,14.5300,14.6500,14.2700,110.000,87.85,0.02,0.0100,,0.2300,,,,1100,
84000,,,,9.0500,9.5200,9.6500,9.2800,115.000,60.72,0.02,0.0100,,0.2400,,,,1942,
87636,4.5500,23.12.25 13:22:30,-9.00,4.0400,4.5500,4.8400,4.3400,120.000,39.85,0.08,0.1900,0.0100,0.2300,0.08,23.12.25 13:26:34,-65.22,38356,
130230,0.4400,23.12.25 13:21:37,-62.07,0.4800,0.7300,1.3900,0.6200,125.000,32.65,1.36,1.7300,1.2000,1.5500,1.58,23.12.25 13:09:55,29.51,240280,
347118,0.0100,23.12.25 13:22:09,-93.75,0.0100,0.0800,0.1900,0.0300,130.000,41.26,5.77,5.5200,5.5000,6.0300,5.78,23.12.25 13:09:28,5.47,75680,
301326,0.1000,23.12.25 12:09:10,0,,0.2300,0.0100,0.0100,135.000,60.48,10.75,10.3500,10.4600,10.9300,11.10,23.12.25 12:10:11,11.11,45294,
615928,,,,,0.2300,0.0100,0.0100,140.000,82.18,15.74,15.3300,15.4200,15.9700,16.04,23.12.25 12:28:14,6.93,68474,
137834,,,,,0.0100,0.0100,0.0100,145.000,100.63,20.74,20.3200,19.5000,23.7600,,,,62800,
10000,,,,,0.4800,0.0100,0.0100,150.000,113.66,25.73,25.3200,1.2600,506.2000,,,,,
16000,,,,,0.4800,0.0100,0.0100,155.000,121.63,30.72,30.3100,1.5100,606.0000,,,,2,
